,Municipalities,People with two or more chronic conditions,Use type II diabetes,Chronic disease - COPD and Asthma - Patients / Clients,Chronic disease - Heart failure - Patients / Clients,Chronic disease - Diabetes - Patients / Clients,Chronic disease - Rheumatism - Patients / Clients,Chronic disease - Cancer - Patients / Clients,municipality Name,Number
0,Aa en Hunze,4.9,6.7,880,970,753,529,1027,'s-Gravenhage,40792
1,Aalsmeer,4.0,5.0,1056,936,604,488,958,'s-Hertogenbosch,16723
2,Aalten,5.6,6.0,1156,1053,682,692,939,Aa en Hunze,524
3,Achtkarspelen,5.5,6.3,1642,1064,658,644,1181,Aalsmeer,1533
4,Alblasserdam,4.9,6.2,1052,733,421,446,753,Aalten,1825
5,Albrandswaard,4.1,4.9,944,843,428,520,765,Achtkarspelen,357
6,Alkmaar,4.5,5.5,4850,3303,1988,1871,3615,Alblasserdam,1482
7,Almelo,5.8,7.2,3556,3027,1950,1575,3359,Albrandswaard,3280
8,Almere,3.7,5.6,7401,7257,2671,3151,7181,Alkmaar,8426
9,Alphen aan den Rijn,4.7,4.8,5079,3976,2103,2313,3583,Almelo,3364
10,Alphen-Chaam,4.5,5.6,363,380,243,134,332,Almere,11906
11,Altena,4.9,5.2,2656,1816,1324,1110,1744,Alphen aan den Rijn,6214
12,Ameland,4.1,5.0,145,95,78,115,115,Alphen-Chaam,1931
13,Amersfoort,3.9,4.6,7437,4904,2292,2316,4753,Altena,4734
14,Amstelveen,3.4,4.2,2969,2406,1740,1500,2610,Ameland,0
15,Amsterdam,3.7,5.4,32638,21543,12851,11093,28998,Amersfoort,6990
16,Apeldoorn,5.3,5.8,7300,6083,3190,2933,5758,Amstelveen,11085
17,Appingedam,7.9,8.3,527,760,356,366,708,Amsterdam,73132
18,Arnhem,4.4,5.4,8048,5578,2554,2766,4985,Apeldoorn,12292
19,Assen,4.8,6.3,3454,2518,1473,1583,2494,Appingedam,165
20,Asten,4.0,4.9,487,465,407,287,519,Arnhem,9415
21,Baarle-Nassau,6.8,6.7,315,326,211,146,259,Assen,1530
22,Baarn,4.3,4.7,1069,788,448,462,710,Asten,2561
23,Barendrecht,3.9,4.8,1798,1631,718,980,1490,Baarle-Nassau,498
24,Barneveld,4.2,4.8,2639,1763,939,838,1778,Baarn,1738
25,Beek,5.6,6.2,737,626,429,309,624,Barendrecht,4132
26,Beekdaelen,6.0,6.4,1647,1360,1113,753,1366,Barneveld,4065
27,Beemster,3.5,4.9,279,282,190,174,236,Beek,1594
28,Beesel,5.7,6.1,539,562,412,265,496,Beekdaelen,5422
29,Berg en Dal,5.8,6.1,1664,1624,782,658,1198,Beemster,362
30,Bergeijk,4.4,5.5,658,579,386,352,572,Beesel,1604
31,Bergen (L.),6.1,7.5,578,555,361,293,554,Berg en Dal,6325
32,Bergen (NH.),4.5,5.0,1004,835,727,565,878,Bergeijk,1928
33,Bergen op Zoom,6.2,6.5,3341,2998,2036,1237,2511,Bergen (L.),748
34,Berkelland,5.7,5.9,1606,1835,1178,990,1607,Bergen (NH.),2187
35,Bernheze,4.8,4.9,1137,1078,801,578,880,Bergen op Zoom,3854
36,Best,5.3,5.0,1455,1017,474,525,968,Berkelland,2279
37,Beuningen,4.9,5.6,1189,902,508,541,856,Bernheze,10473
38,Beverwijk,5.3,6.2,1850,1566,952,800,1468,Best,2533
39,Bladel,4.7,4.5,802,636,458,320,529,Beuningen,2397
40,Blaricum,,,357,296,187,218,280,Beverwijk,2836
41,Bloemendaal,3.8,4.1,642,591,440,459,487,Bladel,2210
42,Bodegraven-Reeuwijk,4.3,4.8,1314,1134,721,735,940,Blaricum,961
43,Boekel,4.3,4.6,346,283,228,247,312,Bloemendaal,1859
44,Borger-Odoorn,5.6,7.0,957,1179,801,573,1118,Bodegraven-Reeuwijk,1715
45,Borne,4.5,6.0,741,777,535,460,821,Boekel,3998
46,Borsele,4.3,4.4,925,803,420,445,617,Borger-Odoorn,288
47,Boxmeer,5.7,6.0,1234,1130,642,661,1057,Borne,1966
48,Boxtel,4.9,5.4,1396,973,675,567,1070,Borsele,901
49,Breda,4.9,5.7,8138,6721,3633,3040,5805,Boxmeer,3944
50,Brielle,4.8,5.9,625,635,366,357,615,Boxtel,2527
51,Bronckhorst,5.7,6.3,1404,1540,1105,809,1476,Breda,19395
52,Brummen,5.7,6.1,998,974,511,435,860,Brielle,1152
53,Brunssum,7.1,8.3,1568,1331,1083,693,1411,Bronckhorst,2272
54,Bunnik,4.7,5.2,596,548,325,227,453,Brummen,1273
55,Bunschoten,3.6,4.7,948,531,369,293,644,Brunssum,3186
56,Buren,4.9,5.2,1169,945,603,420,1029,Bunnik,1242
57,Capelle aan den IJssel,5.2,6.2,2910,2657,1583,1374,2655,Bunschoten,1954
58,Castricum,4.3,4.8,1258,975,750,699,894,Buren,1558
59,Coevorden,5.7,7.3,1592,1657,949,888,1584,Capelle aan den IJssel,9226
60,Cranendonck,5.2,5.0,835,740,546,323,643,Castricum,2901
61,Cuijk,5.6,6.1,1139,998,494,586,911,Coevorden,2293
62,Culemborg,4.4,4.6,1301,1063,526,445,985,Cranendonck,6374
63,Dalfsen,4.1,4.7,1038,922,704,564,958,Cuijk,2351
64,Dantumadiel,6.0,6.3,1042,719,565,513,806,Culemborg,2195
65,De Bilt,4.6,5.0,1937,1451,1035,725,1308,Dalfsen,2852
66,De Fryske Marren,4.7,5.4,2113,2162,1250,1131,1715,Dantumadiel,249
67,De Ronde Venen,4.1,4.6,1543,1433,888,685,1327,De Bilt,4963
68,De Wolden,4.9,6.5,813,976,665,533,911,De Fryske Marren,2266
69,Delft,4.6,4.9,4677,3388,1582,1779,3364,De Ronde Venen,3153
70,Delfzijl,7.3,9.5,1139,1459,791,778,1535,De Wolden,1543
71,Den Haag,4.7,6.5,23648,18561,8656,8365,21473,Delft,4739
72,Den Helder,5.9,6.9,2425,2181,1464,1066,2414,Delfzijl,646
73,Deurne,5.1,5.4,1241,1297,681,573,1112,Den Helder,1329
74,Deventer,4.9,5.7,5109,3932,1771,2322,3559,Deurne,5730
75,Diemen,3.9,5.8,922,732,521,441,971,Deventer,7840
76,Dinkelland,4.5,5.6,773,954,616,461,870,Diemen,2769
77,Doesburg,6.0,7.7,610,522,300,228,459,Dinkelland,2950
78,Doetinchem,5.9,6.2,2810,2222,1573,1231,2114,Doesburg,1045
79,Dongen,5.6,5.9,1197,1077,534,511,916,Doetinchem,3289
80,Dordrecht,5.1,6.3,6531,4432,2592,2582,4935,Dongen,2741
81,Drechterland,3.5,4.5,676,416,406,343,584,Dordrecht,10057
82,Drimmelen,5.2,5.9,1172,979,646,500,943,Drechterland,1594
83,Dronten,4.6,5.3,1740,1591,757,873,1331,Drimmelen,2494
84,Druten,5.1,5.9,932,816,388,420,665,Dronten,3836
85,Duiven,5.1,5.5,1134,992,478,586,817,Druten,3998
86,Echt-Susteren,6.1,6.4,1475,1240,951,719,1179,Duiven,1596
87,Edam-Volendam,4.3,4.9,1125,1270,816,877,1081,Echt-Susteren,3327
88,Ede,4.4,5.4,5238,4034,1888,1954,3894,Edam-Volendam,2953
89,Eemnes,,,355,279,131,209,294,Ede,7077
90,Eersel,4.8,4.6,777,506,374,327,517,Eemnes,548
91,Eijsden-Margraten,5.2,5.6,1075,839,765,431,839,Eersel,2382
92,Eindhoven,4.7,5.3,10142,7202,3917,3680,7517,Eijsden-Margraten,5710
93,Elburg,5.0,5.7,1105,894,560,506,899,Eindhoven,17067
94,Emmen,6.1,8.1,5153,6036,3216,2734,5205,Elburg,4068
95,Enkhuizen,4.1,5.6,852,524,464,336,608,Emmen,3390
96,Enschede,5.0,6.5,6651,6195,3109,2624,6242,Enkhuizen,1244
97,Epe,6.2,7.0,1415,1408,909,707,1287,Enschede,7214
98,Ermelo,5.5,5.7,1386,984,603,502,910,Epe,4558
99,Etten-Leur,5.6,6.0,2078,1759,891,800,1490,Ermelo,4050
100,Geertruidenberg,5.8,6.2,1071,814,514,461,830,Etten-Leur,6307
101,Geldrop-Mierlo,5.5,6.1,1793,1337,1121,772,1427,Geertruidenberg,1520
102,Gemert-Bakel,4.3,5.5,1073,1017,626,526,938,Geldrop-Mierlo,3746
103,Gennep,5.4,6.2,699,669,364,382,725,Gemert-Bakel,7174
104,Gilze en Rijen,5.7,6.8,1159,1044,628,563,1041,Gennep,2063
105,Goeree-Overflakkee,5.7,6.9,2699,2372,1111,979,1988,Gilze en Rijen,2803
106,Goes,6.2,5.7,1875,1743,886,869,1204,Goeree-Overflakkee,10108
107,Goirle,5.9,5.9,1060,1029,599,517,823,Goes,2631
108,Gooise Meren,3.9,4.1,2188,1766,1063,1192,1428,Goirle,2886
109,Gorinchem,5.4,6.1,1997,1373,923,762,1418,Gooise Meren,3786
110,Gouda,4.8,5.8,3135,2824,1503,1591,2603,Gorinchem,5308
111,Grave,5.3,5.5,554,479,258,282,421,Gouda,8337
112,Groningen,3.7,4.8,9957,6884,3282,3641,6388,Grave,2415
113,Gulpen-Wittem,5.8,6.0,639,520,524,291,540,Groningen,6818
114,Haaksbergen,4.8,5.7,793,1000,504,456,759,Gulpen-Wittem,2499
115,Haaren,4.4,4.5,474,479,352,279,393,Haaksbergen,1967
116,Haarlem,4.0,5.0,6860,4662,2744,2796,4733,Haaren,1808
117,Haarlemmermeer,4.2,5.2,5538,4493,2325,2965,4797,Haarlem,10076
118,Halderberge,6.7,7.1,1345,1351,832,577,1287,Haarlemmermeer,8305
119,Hardenberg,4.7,5.9,2718,2240,1354,1252,2187,Halderberge,2087
120,Harderwijk,5.3,5.8,2456,1955,926,881,1640,Hardenberg,6157
121,Hardinxveld-Giessendam,4.9,5.6,878,697,425,312,609,Harderwijk,4402
122,Harlingen,5.5,6.3,845,602,347,433,619,Hardinxveld-Giessendam,1268
123,Hattem,4.9,5.5,587,423,318,265,408,Harlingen,614
124,Heemskerk,4.9,6.4,1540,1336,922,795,1547,Hattem,1589
125,Heemstede,4.7,4.6,931,774,581,532,672,Heemskerk,3108
126,Heerde,5.6,6.3,853,711,625,498,750,Heemstede,3646
127,Heerenveen,5.1,5.7,2174,1840,1151,1259,1855,Heerde,6344
128,Heerhugowaard,4.5,5.1,2334,1605,852,1010,1771,Heerenveen,3103
129,Heerlen,7.5,7.8,5352,4128,3191,2046,4132,Heerhugowaard,4930
130,Heeze-Leende,4.6,4.8,554,441,401,335,417,Heerlen,12046
131,Heiloo,4.3,4.5,871,600,438,413,569,Heeze-Leende,2207
132,Hellendoorn,5.1,5.9,1502,1309,915,793,1290,Heiloo,1774
133,Hellevoetsluis,5.3,6.4,1827,1703,831,875,1575,Hellendoorn,2939
134,Helmond,5.0,6.0,4333,3571,1809,1376,3320,Hellevoetsluis,2332
135,Hendrik-Ido-Ambacht,4.2,5.4,1362,1058,552,618,974,Helmond,12118
136,Hengelo,4.5,6.3,3177,2969,1816,1562,2974,Hendrik-Ido-Ambacht,1290
137,Het Hogeland,5.5,6.8,2349,2070,1192,1063,2124,Hengelo,4575
138,Heumen,4.9,5.0,697,593,404,409,513,Het Hogeland,1078
139,Heusden,5.0,5.4,1913,1550,993,922,1425,Heumen,2521
140,Hillegom,4.6,5.2,960,723,429,436,666,Heusden,4896
141,Hilvarenbeek,5.1,5.1,572,567,340,358,438,Hillegom,1126
142,Hilversum,4.3,5.0,3924,2863,1507,1928,2743,Hilvarenbeek,1498
143,Hoeksche Waard,5.2,5.9,3992,3400,1952,1989,2891,Hilversum,5528
144,Hof van Twente,5.4,6.5,1283,1403,951,768,1326,Hoeksche Waard,9589
145,Hollands Kroon,4.0,5.1,1593,1367,1023,764,1601,Hof van Twente,2353
146,Hoogeveen,6.1,6.9,2530,2879,1460,1423,2381,Hollands Kroon,2375
147,Hoorn,4.2,5.5,3402,2114,1421,1264,2518,Hoogeveen,2871
148,Horst aan de Maas,5.2,5.4,1573,1433,1045,726,1354,Hoorn,3118
149,Houten,3.7,4.2,2250,1439,667,780,1300,Horst aan de Maas,4532
150,Huizen,4.5,5.4,1777,1290,842,996,1389,Houten,4746
151,Hulst,5.3,6.5,1151,828,813,486,763,Huizen,3649
152,IJsselstein,4.8,5.6,1561,1374,654,565,1224,Hulst,1087
153,Kaag en Braassem,4.4,4.7,1144,912,510,545,745,IJsselstein,4471
154,Kampen,4.4,5.7,2520,1967,1150,867,1829,Kaag en Braassem,953
155,Kapelle,4.3,4.8,522,428,233,235,348,Kampen,11736
156,Katwijk,5.2,4.9,3034,2332,1371,1272,2328,Kapelle,793
157,Kerkrade,7.4,8.6,2249,2173,1753,950,2371,Katwijk,5980
158,Koggenland,3.4,4.1,678,477,435,326,593,Kerkrade,6193
159,Krimpen aan den IJssel,4.9,6.0,1261,1056,733,589,1021,Koggenland,1286
160,Krimpenerwaard,4.5,4.8,2268,1845,1232,1083,1664,Krimpen aan den IJssel,2395
161,Laarbeek,5.3,5.9,863,926,461,391,790,Krimpenerwaard,5267
162,Landerd,5.0,4.8,639,542,374,290,476,Laarbeek,4114
163,Landgraaf,6.8,8.2,1935,1608,1371,905,1777,Landerd,5242
164,Landsmeer,4.4,5.6,386,369,279,228,362,Landgraaf,4797
165,Langedijk,3.7,4.6,1024,706,454,438,728,Landsmeer,917
166,Lansingerland,3.2,3.6,2310,1841,718,986,1381,Langedijk,1766
167,Laren,,,366,368,256,229,294,Lansingerland,6466
168,Leeuwarden,5.1,5.5,6702,4314,2566,3179,4194,Laren,950
169,Leiden,4.2,4.4,6398,3883,1914,1919,3537,Leeuwarden,2244
170,Leiderdorp,4.9,4.6,1306,1002,612,538,896,Leiden,5076
171,Leidschendam-Voorburg,4.9,6.1,3362,2606,1596,1412,2693,Leiderdorp,1061
172,Lelystad,4.7,6.5,3260,3531,1499,1406,3195,Leidschendam-Voorburg,3528
173,Leudal,4.9,6.0,1293,1350,1052,679,1220,Lelystad,5433
174,Leusden,3.9,4.3,1195,910,503,492,850,Leudal,6690
175,Lingewaard,5.1,5.6,2153,1722,935,1061,1506,Leusden,1672
